"STATION","NAME","DATE","TMAX","TMIN"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-23","98","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-24","95","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-25","97","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-26","103","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-27","105","79"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-28","104","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-29","97","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-30","100","77"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-08-31","102","78"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-01","104","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-02","103","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-03","102","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-04","105","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-05","103","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-06","103","80"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-07","100","81"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-08","97","74"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-09","94","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-10","94","76"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-11","93","75"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-12","97","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-13","101","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-14","92","73"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-15","92","68"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-16","88","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-17","95","66"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-18","98","70"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-19","97","69"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-20","94","65"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-21","92","71"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-22","94","69"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-23","91","68"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-24","76","62"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-25","84","64"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-26","86","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-27","82","65"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-28","89","63"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-29","91","67"
"USW00023160","TUCSON INTERNATIONAL AIRPORT, AZ US","2019-09-30","91","60"
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-01",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-02",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-03",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-04",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-05",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-06",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-07",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-08",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-09",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-10",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-11",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-12",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-13",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-14",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-15",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-16",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-17",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-18",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-19",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-20",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-21",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-22",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-23",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-24",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-25",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-26",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-27",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-28",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-29",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-04-30",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-01",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-02",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-03",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-04",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-05",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-06",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-07",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-08",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-09",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-10",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-11",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-12",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-13",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-14",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-15",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-16",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-17",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-18",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-19",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-20",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-21",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-22",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-23",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-24",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-25",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-26",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-27",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-28",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-29",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-30",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-05-31",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-01",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-02",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-03",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-04",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-05",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-06",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-07",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-08",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-09",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-10",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-11",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-12",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-13",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-14",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-15",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-16",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-17",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-18",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-19",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-20",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-21",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-22",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-23",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-24",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-25",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-26",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-27",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-28",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-29",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-06-30",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-01",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-02",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-03",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-04",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-05",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-06",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-07",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-08",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-09",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-10",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-11",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-12",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-13",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-14",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-15",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-16",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-17",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-18",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-19",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-20",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-21",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-22",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-23",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-24",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-25",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-26",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-27",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-28",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-29",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-30",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-07-31",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-08-01",,
"US1AZPM0318","VALENCIA WEST 1.1 E, AZ US","2019-08-02",,
